 -------------
     h          f'_2f               f'_2t               f'_3s               f'_5s               f''_3s               f''_5s
 -------------
   2.0000E-01      5.516621203949      3.063457090490      4.290039147220      3.810496475878     12.265820567294     11.199540147581
   4.0000E-02      4.139205906346      3.683188545531      3.911197225938      3.896039003775     11.400434020386     11.365635319811
   8.0000E-03      3.942223846331      3.851285852349      3.896754849340      3.896154046352     11.367249247673     11.365868502851
   1.6000E-03      3.905270991771      3.887085513233      3.896178252502      3.896154229172     11.365924086192     11.365868874216
   3.2000E-04      3.897973729756      3.894336651011      3.896155190384      3.896154229465     11.365871080676     11.365868869084
   6.4000E-05      3.896517975707      3.895790560097      3.896154267902      3.896154229465     11.365868912271     11.365868772229
   1.2800E-05      3.896226972566      3.896081489426      3.896154230996      3.896154229463     11.365870267524     11.365869364022
   2.5600E-06      3.896168777797      3.896139681280      3.896154229539      3.896154229474     11.365826899437     11.365790194676
   5.1200E-07      3.896157138670      3.896151320407      3.896154229539      3.896154229575     11.363794020364     11.363017573495
   1.0240E-07      3.896154813707      3.896153647105      3.896154230406      3.896154230587     11.392593140570     11.401416400438
   2.0480E-08      3.896154351837      3.896154113312      3.896154232574      3.896154235285     11.646703024747     11.426121528066
   4.0960E-09      3.896154178364      3.896154232574      3.896154205469      3.896154209987    -13.234889800848    -23.161057151485
 -------------
 Exato             3.896154229465     11.365868874671  -  -  -  -
 -------------
